"plec","edukacja","wiek","wojewodztwo","podregion66","waga","rok"
"mężczyzna","podstawowe i niższe","25-34 lata","Dolnośląskie","WROCŁAWSKI",1.336263075,"2000"
"mężczyzna","podstawowe i niższe","25-34 lata","Dolnośląskie","WAŁBRZYSKI",1.03,"2000"
"mężczyzna","podstawowe i niższe","25-34 lata","Kujawsko-Pomorskie","GRUDZIĄDZKI",4.12,"2000"
"mężczyzna","podstawowe i niższe","25-34 lata","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",1.05,"2000"
"mężczyzna","podstawowe i niższe","25-34 lata","Kujawsko-Pomorskie","WŁOCŁAWSKI",1.03,"2000"
"mężczyzna","podstawowe i niższe","25-34 lata","Lubelskie","PUŁAWSKI",1.24526992275,"2000"
"mężczyzna","podstawowe i niższe","25-34 lata","Lubuskie","GORZOWSKI",1.034785762875,"2000"
"mężczyzna","podstawowe i niższe","25-34 lata","Łódzkie","PIOTRKOWSKI",1.03,"2000"
"mężczyzna","podstawowe i niższe","25-34 lata","Łódzkie","SIERADZKI",2.06,"2000"
"mężczyzna","podstawowe i niższe","25-34 lata","Małopolskie","NOWOSĄDECKI",1.48246419375,"2000"
"mężczyzna","podstawowe i niższe","25-34 lata","Małopolskie","OŚWIĘCIMSKI",1.03,"2000"
"mężczyzna","podstawowe i niższe","25-34 lata","Mazowieckie","CIECHANOWSKO-PŁOCKI",1.03,"2000"
"mężczyzna","podstawowe i niższe","25-34 lata","Mazowieckie","WARSZAWSKI   ZACHODNI",2.351136195,"2000"
"mężczyzna","podstawowe i niższe","25-34 lata","Mazowieckie","RADOMSKI",2.37194271,"2000"
"mężczyzna","podstawowe i niższe","25-34 lata","Mazowieckie","WARSZAWSKI WSCHODNI",1.03,"2000"
"mężczyzna","podstawowe i niższe","25-34 lata","Opolskie","NYSKI",1.03,"2000"
"mężczyzna","podstawowe i niższe","25-34 lata","Podkarpackie","PRZEMYSKI",0,"2000"
"mężczyzna","podstawowe i niższe","25-34 lata","Podkarpackie","RZESZOWSKI",1.05,"2000"
"mężczyzna","podstawowe i niższe","25-34 lata","Podkarpackie","TARNOBRZESKI",1.03,"2000"
"mężczyzna","podstawowe i niższe","25-34 lata","Podlaskie","ŁOMŻYŃSKI",4.12,"2000"
"mężczyzna","podstawowe i niższe","25-34 lata","Podlaskie","SUWALSKI",1.03,"2000"
"mężczyzna","podstawowe i niższe","25-34 lata","Pomorskie","TRÓJMIEJSKI",1.03,"2000"
"mężczyzna","podstawowe i niższe","25-34 lata","Śląskie","BIELSKI",2.23357938525,"2000"
"mężczyzna","podstawowe i niższe","25-34 lata","Śląskie","KATOWICKI",1.03,"2000"
"mężczyzna","podstawowe i niższe","25-34 lata","Świętokrzyskie","KIELECKI",1.68228424525,"2000"
"mężczyzna","podstawowe i niższe","25-34 lata","Świętokrzyskie","SANDOMIERSKO-JĘDRZEJOWSKI",1.03,"2000"
"mężczyzna","podstawowe i niższe","25-34 lata","Warmińsko-Mazurskie","ELBLĄSKI",0.6681315375,"2000"
"mężczyzna","podstawowe i niższe","25-34 lata","Warmińsko-Mazurskie","EŁCKI",2.06,"2000"
"mężczyzna","podstawowe i niższe","25-34 lata","Wielkopolskie","KONIŃSKI",1.03,"2000"
"mężczyzna","podstawowe i niższe","25-34 lata","Zachodniopomorskie","KOSZALIŃSKI",1.91947851625,"2000"
"mężczyzna","podstawowe i niższe","25-34 lata","Zachodniopomorskie","STARGARDZKI",0.88947851625,"2000"
"mężczyzna","podstawowe i niższe","35-44 lata","Dolnośląskie","JELENIOGÓRSKI",0.95,"2000"
"mężczyzna","podstawowe i niższe","35-44 lata","Dolnośląskie","WROCŁAWSKI",0.95,"2000"
"mężczyzna","podstawowe i niższe","35-44 lata","Dolnośląskie","M.WROCŁAW",0.95,"2000"
"mężczyzna","podstawowe i niższe","35-44 lata","Kujawsko-Pomorskie","GRUDZIĄDZKI",2.667619,"2000"
"mężczyzna","podstawowe i niższe","35-44 lata","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",0,"2000"
"mężczyzna","podstawowe i niższe","35-44 lata","Kujawsko-Pomorskie","WŁOCŁAWSKI",2.667619,"2000"
"mężczyzna","podstawowe i niższe","35-44 lata","Kujawsko-Pomorskie",NA,0.940454478,"2000"
"mężczyzna","podstawowe i niższe","35-44 lata","Lubelskie","BIALSKI",0.95,"2000"
"mężczyzna","podstawowe i niższe","35-44 lata","Lubelskie","LUBELSKI",1.9574999375,"2000"
"mężczyzna","podstawowe i niższe","35-44 lata","Lubelskie","CHEŁMSKO-ZAMOJSKI",0.95,"2000"
"mężczyzna","podstawowe i niższe","35-44 lata","Lubuskie","GORZOWSKI",2.763571375,"2000"
"mężczyzna","podstawowe i niższe","35-44 lata","Lubuskie","ZIELONOGÓRSKI",0.4317856875,"2000"
"mężczyzna","podstawowe i niższe","35-44 lata","Łódzkie","PIOTRKOWSKI",0.95,"2000"
"mężczyzna","podstawowe i niższe","35-44 lata","Łódzkie","SIERADZKI",2.0534523125,"2000"
"mężczyzna","podstawowe i niższe","35-44 lata","Łódzkie","SKIERNIEWICKI",2.93,"2000"
"mężczyzna","podstawowe i niższe","35-44 lata","Łódzkie","M. ŁÓDŹ",1.1034523125,"2000"
"mężczyzna","podstawowe i niższe","35-44 lata","Małopolskie","KRAKOWSKI",1.03,"2000"
"mężczyzna","podstawowe i niższe","35-44 lata","Małopolskie","NOWOSĄDECKI",1.57361895,"2000"
