"plec","waga","wiek","wojewodztwo","podregion66","godzin_internetu","rok","woj_id"
"kobieta",0.82490616,"35-44 lata","Kujawsko-Pomorskie","WŁOCŁAWSKI",5,"2003","2"
"kobieta",0.768678582,"do 24 lat","Kujawsko-Pomorskie","GRUDZIĄDZKI",0,"2003","2"
"mężczyzna",0.83362760376,"do 24 lat","Kujawsko-Pomorskie","GRUDZIĄDZKI",3,"2003","2"
"mężczyzna",0.80317921152,"do 24 lat","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",2,"2003","2"
"kobieta",0.79477632,"35-44 lata","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",2,"2003","2"
"mężczyzna",1.044407343744,"35-44 lata","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",14,"2003","2"
"mężczyzna",0.80317921152,"do 24 lat","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",1,"2003","2"
"mężczyzna",1.006260185088,"35-44 lata","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",0,"2003","2"
"kobieta",0.79477632,"35-44 lata","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",0,"2003","2"
"kobieta",0.768678582,"do 24 lat","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",5,"2003","2"
"mężczyzna",0.83362760376,"do 24 lat","Kujawsko-Pomorskie","GRUDZIĄDZKI",0,"2003","2"
"mężczyzna",0.80317921152,"do 24 lat","Kujawsko-Pomorskie","GRUDZIĄDZKI",2,"2003","2"
"mężczyzna",0.80317921152,"do 24 lat","Kujawsko-Pomorskie","GRUDZIĄDZKI",1,"2003","2"
"kobieta",0.768678582,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",0,"2003","2"
"mężczyzna",0.83362760376,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",0,"2003","2"
"kobieta",0.768678582,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",2,"2003","2"
"kobieta",0.768678582,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",2,"2003","2"
"mężczyzna",0.766113617376,"65+ lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",1,"2003","2"
"kobieta",0.879899904,"45-59 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",1,"2003","2"
"kobieta",0.768678582,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",0,"2003","2"
"mężczyzna",1.044407343744,"25-34 lata","Kujawsko-Pomorskie","WŁOCŁAWSKI",20,"2003","2"
"kobieta",0.847761408,"45-59 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",1,"2003","2"
"kobieta",0.989887392,"25-34 lata","Kujawsko-Pomorskie","WŁOCŁAWSKI",1,"2003","2"
"kobieta",0.768678582,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",1,"2003","2"
"mężczyzna",1.044407343744,"25-34 lata","Kujawsko-Pomorskie","WŁOCŁAWSKI",0,"2003","2"
"kobieta",0.989887392,"25-34 lata","Kujawsko-Pomorskie","WŁOCŁAWSKI",0,"2003","2"
"mężczyzna",0.83855015424,"35-44 lata","Kujawsko-Pomorskie","WŁOCŁAWSKI",2,"2003","2"
"mężczyzna",0.903290576448,"45-59 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",3,"2003","2"
"kobieta",0.76145184,"35-44 lata","Kujawsko-Pomorskie","WŁOCŁAWSKI",1,"2003","2"
"kobieta",0.953731584,"25-34 lata","Kujawsko-Pomorskie","WŁOCŁAWSKI",20,"2003","2"
"kobieta",0.768678582,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",1,"2003","2"
"kobieta",0.740602464,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",5,"2003","2"
"kobieta",0.740602464,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",0,"2003","2"
"mężczyzna",0.83362760376,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",30,"2003","2"
"mężczyzna",0.83362760376,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",0,"2003","2"
"mężczyzna",0.80317921152,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",2,"2003","2"
"kobieta",0.76145184,"35-44 lata","Kujawsko-Pomorskie","WŁOCŁAWSKI",2,"2003","2"
"kobieta",0.989887392,"25-34 lata","Kujawsko-Pomorskie","GRUDZIĄDZKI",5,"2003","2"
"mężczyzna",0.87033945312,"35-44 lata","Kujawsko-Pomorskie","GRUDZIĄDZKI",1,"2003","2"
"kobieta",0.82490616,"35-44 lata","Kujawsko-Pomorskie","GRUDZIĄDZKI",3,"2003","2"
"mężczyzna",0.83855015424,"35-44 lata","Kujawsko-Pomorskie","GRUDZIĄDZKI",2,"2003","2"
"kobieta",0.740602464,"do 24 lat","Kujawsko-Pomorskie","GRUDZIĄDZKI",1,"2003","2"
"mężczyzna",0.80317921152,"do 24 lat","Kujawsko-Pomorskie","GRUDZIĄDZKI",1,"2003","2"
"mężczyzna",0.78169376808,"45-59 lat","Kujawsko-Pomorskie","GRUDZIĄDZKI",2,"2003","2"
"kobieta",0.76145184,"35-44 lata","Kujawsko-Pomorskie","GRUDZIĄDZKI",4,"2003","2"
"kobieta",0.768678582,"do 24 lat","Kujawsko-Pomorskie","GRUDZIĄDZKI",3,"2003","2"
"mężczyzna",0.83362760376,"do 24 lat","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",10,"2003","2"
"mężczyzna",0.87033945312,"35-44 lata","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",1,"2003","2"
"kobieta",0.740602464,"do 24 lat","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",1,"2003","2"
"kobieta",0.740602464,"do 24 lat","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",2,"2003","2"
"kobieta",0.740602464,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",3,"2003","2"
